VIN,year,model,description,certified,convertible,M,Mileage,Location,interior,exterior,engine,fuel,transmission,drivetrain,mpg_hw,mpg_city,driving_assistance,executive,luxury_rear_seating,M_sport,price
WBA8B9G5XJNU57466,2018,3 Series,330i Sedan SA,1,0,0,35321,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,34,24,0,0,0,0,23900
WBA8D9G52JNU73073,2018,3 Series,330i xDrive Sedan SA,1,0,0,48643,CA,Black SensaTec,Mineral Grey Metallic,2.0L 4 Cylinder Engine,Gasoline,Automatic,AWD,33,23,0,0,0,0,29000
WBA8E1C54JA758966,2018,3 Series,330e iPerformance,1,0,0,10520,CA,Black Dak Lthr w/ Oyster hglgt,Alpine White,2.0L 4 Cylinder Engine,Hybrid,Automatic,RWD,–,–,0,0,0,1,29000
WBA8E1G53JNU92620,2018,3 Series,320i Sedan SA,1,0,0,28360,CA,Black SensaTec,Alpine White,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,35,24,0,0,0,0,22500
WBA8E1G5XJNU90816,2018,3 Series,320i Sedan SA,1,0,0,29763,CA,Black SensaTec,Glacier Silver Metallic,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,35,24,0,0,0,0,21900
WBA8E9G56GNT87058,2016,3 Series,328i Sedan SA S,0,0,0,34605,CA,Black SensaTec,Mineral Grey Metallic,2.0L 4 Cylinder Engine,Gasoline,Automatic,RWD,35,23,1,0,0,0,19900
WBA8J1C31HA018697,2017,3 Series,328d xDrive Sports Wagon,1,0,0,26995,CA,Black SensaTec,Black Sapphire Metallic,2.0L 4 Cylinder Engine,Diesel,Automatic,AWD,40,30,1,0,0,0,34900
WBA8J1C55JA019097,2018,3 Series,328d xDrive Sports Wagon,1,0,0,23847,CA,Black SensaTec,Mineral Grey Metallic,2.0L 4 Cylinder Engine,Diesel,Automatic,AWD,40,30,0,0,0,0,36500
5UXTY3C01M9E02356,2021,X3,X3 sDrive30i,0,0,0,5156,CA,Black SensaTec,Jet Black,2.0L 4 CYLINDER,Gasoline,Automatic,RWD,29,25,0,0,0,0,48995
5UXTY5C00M9E67100,2021,X3,X3 xDrive30i,0,0,0,5370,CA,Cognac Vernasca Leather,Jet Black,2.0L 4 CYLINDER,Gasoline,Automatic,AWD,29,23,0,0,0,0,50945
WBA13AR01MCF16716,2021,4 Series,M440i xDrive Coupe,0,0,1,4927,CA,Black SensaTec,Alpine White,3.0L 6 CYLINDER,Gasoline,–,AWD,31,22,0,0,0,0,62470
